STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTSbreweries
06,23,0623,Congressional District 23,C2,116,G5200,N,2147483647,99793011,+35.6106838,-118.5390568,4
06,08,0608,Congressional District 8,C2,116,G5200,N,2147483647,444227838,+35.6625568,-116.8195456,8
17,17,1717,Congressional District 17,C2,116,G5200,N,2147483647,346793272,+41.3894669,-090.2186532,8
17,06,1706,Congressional District 6,C2,116,G5200,N,980857787,27754091,+42.0671182,-088.4044355,7
17,03,1703,Congressional District 3,C2,116,G5200,N,613376406,13496849,+41.6789774,-087.8919745,8
17,10,1710,Congressional District 10,C2,116,G5200,N,777404163,31605644,+42.2800147,-087.9399419,9
17,04,1704,Congressional District 4,C2,116,G5200,N,135804048,966145,+41.8862970,-087.9205610,9
13,03,1303,Congressional District 3,C2,116,G5200,N,2147483647,215086398,+33.1505217,-084.7286640,6
13,10,1310,Congressional District 10,C2,116,G5200,N,2147483647,459100029,+33.4242062,-083.0623090,3
13,04,1304,Congressional District 4,C2,116,G5200,N,1287444270,21757037,+33.6976377,-084.0514329,4
13,05,1305,Congressional District 5,C2,116,G5200,N,686276539,5016095,+33.7069846,-084.4011185,10
13,13,1313,Congressional District 13,C2,116,G5200,N,1849961415,25795622,+33.6291014,-084.5664533,1
13,09,1309,Congressional District 9,C2,116,G5200,N,2147483647,410740104,+34.5061129,-083.6870501,5
06,51,0651,Congressional District 51,C2,116,G5200,N,2147483647,869815412,+32.9955751,-115.5255338,9
06,28,0628,Congressional District 28,C2,116,G5200,N,565796768,2403435,+34.2500576,-118.2914520,5
06,01,0601,Congressional District 1,C2,116,G5200,N,2147483647,1948066307,+40.7319880,-121.5105160,17
13,07,1307,Congressional District 7,C2,116,G5200,N,1017219867,25241077,+34.0401920,-084.0829587,1
13,02,1302,Congressional District 2,C2,116,G5200,N,2147483647,438955826,+31.8162371,-084.4190306,2
13,06,1306,Congressional District 6,C2,116,G5200,N,774251171,13986249,+34.0130516,-084.3456624,5
13,14,1314,Congressional District 14,C2,116,G5200,N,2147483647,51880746,+34.4305862,-085.0978762,0
21,02,2102,Congressional District 2,C2,116,G5200,N,2147483647,388832054,+37.5446206,-085.9904901,3
21,06,2106,Congressional District 6,C2,116,G5200,N,2147483647,115148400,+38.0534473,-084.1547782,14
22,01,2201,Congressional District 1,C2,116,G5200,N,2147483647,2147483647,+29.6364920,-089.9053610,6
22,03,2203,Congressional District 3,C2,116,G5200,N,2147483647,2147483647,+29.9270215,-092.4364185,3
22,05,2205,Congressional District 5,C2,116,G5200,N,2147483647,1118524221,+31.7664463,-091.8235236,4
18,03,1803,Congressional District 3,C2,116,G5200,N,2147483647,135299678,+41.0967951,-085.2362774,5
18,05,1805,Congressional District 5,C2,116,G5200,N,2147483647,40864910,+40.2486316,-085.8695988,11
18,04,1804,Congressional District 4,C2,116,G5200,N,2147483647,70295098,+40.3810879,-086.8594124,7
18,07,1807,Congressional District 7,C2,116,G5200,N,787296961,4586270,+39.7468732,-086.1390065,11
13,01,1301,Congressional District 1,C2,116,G5200,N,2147483647,2075874473,+31.3174384,-081.9425449,4
17,11,1711,Congressional District 11,C2,116,G5200,N,725929838,16218367,+41.6422523,-088.1474167,8
