STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,color,military
13,8,1308,Congressional District 8,C2,116,G5200,N,22632647889,298759475,31.7798073,-83.4515115,,15
6,4,604,Congressional District 4,C2,116,G5200,N,33247135324,858297386,37.9824523,-119.9279734,,12
6,22,622,Congressional District 22,C2,116,G5200,N,-1277607842,10371897,36.4768778,-119.3895422,,7
6,9,609,Congressional District 9,C2,116,G5200,N,-1055257452,140669213,38.010406,-121.3065618,,4
47,9,4709,Congressional District 9,C2,116,G5200,N,1252797745,53745455,35.1676342,-89.9788605,,4
47,6,4706,Congressional District 6,C2,116,G5200,N,16770155959,324676580,36.1947713,-85.778434,,13
16,1,1601,Congressional District 1,C2,116,G5200,N,1.02098E+11,1310417824,45.2967502,-116.0358424,,62
16,2,1602,Congressional District 2,C2,116,G5200,N,1.11952E+11,1081304733,43.4439256,-113.3642618,,57
6,41,641,Congressional District 41,C2,116,G5200,N,820299648,4159166,33.9180748,-117.2974203,,4
6,27,627,Congressional District 27,C2,116,G5200,N,1812584403,7549848,34.2650833,-117.9348875,,0
6,17,617,Congressional District 17,C2,116,G5200,N,480149991,21997291,37.4410278,-121.9665776,,0
6,14,614,Congressional District 14,C2,116,G5200,N,672683232,827165077,37.5748023,-122.4936563,,3
41,4,4104,Congressional District 4,C2,116,G5200,N,44737320075,-2067550138,43.4720025,-123.2731321,,24
41,2,4102,Congressional District 2,C2,116,G5200,N,1.7986E+11,1904150525,43.8374944,-119.5968497,,43
21,1,2101,Congressional District 1,C2,116,G5200,N,31296234250,1221417588,37.0846029,-87.1849382,,22
21,3,2103,Congressional District 3,C2,116,G5200,N,827821298,40946491,38.1894013,-85.6974571,,2
21,5,2105,Congressional District 5,C2,116,G5200,N,29096016239,312392707,37.3688281,-83.5218984,,13
21,4,2104,Congressional District 4,C2,116,G5200,N,11327918358,296600515,38.5689729,-84.4370062,,4
17,12,1712,Congressional District 12,C2,116,G5200,N,12972082875,462200658,37.9933075,-89.4278909,,11
17,8,1708,Congressional District 8,C2,116,G5200,N,532623690,10394846,42.009662,-88.0966499,,1
6,2,602,Congressional District 2,C2,116,G5200,N,33546725691,-172942708,40.0940587,-123.4649741,,27
6,38,638,Congressional District 38,C2,116,G5200,N,262655737,3823181,33.9394788,-118.0626041,,0
1,1,101,Congressional District 1,C2,116,G5200,N,15713197908,-2019292205,31.0020519,-87.7879717,,14
1,3,103,Congressional District 3,C2,116,G5200,N,19537640555,471223121,33.1505639,-85.7002277,,12
1,5,105,Congressional District 5,C2,116,G5200,N,9525492193,459955499,34.7552973,-86.7118036,,9
1,4,104,Congressional District 4,C2,116,G5200,N,23022590138,573214646,34.1181796,-87.2138079,,15
1,7,107,Congressional District 7,C2,116,G5200,N,26301828529,332882012,32.4492349,-87.6405014,,15
1,2,102,Congressional District 2,C2,116,G5200,N,26269902298,303582941,31.7020846,-86.0768417,,19
1,6,106,Congressional District 6,C2,116,G5200,N,10803396962,176793844,33.2602125,-86.7134302,,5
12,13,1213,Congressional District 13,C2,116,G5200,N,470709134,640204070,27.8259163,-82.7264422,,3
12,26,1226,Congressional District 26,C2,116,G5200,N,5659121044,7734843990,25.1707427,-81.0952687,,4
12,22,1222,Congressional District 22,C2,116,G5200,N,424130319,254083069,26.2721076,-80.1252119,,2
12,9,1209,Congressional District 9,C2,116,G5200,N,5987286333,798928316,28.0353419,-81.2906169,,6
12,19,1219,Congressional District 19,C2,116,G5200,N,1937060134,1603487946,26.4316252,-81.9067678,,4
29,1,2901,Congressional District 1,C2,116,G5200,N,582542737,28225242,38.728386,-90.2962282,,1
29,3,2903,Congressional District 3,C2,116,G5200,N,17745526082,368043248,38.5781714,-91.563185,,13
29,5,2905,Congressional District 5,C2,116,G5200,N,6281461429,89873789,39.141446,-93.7839363,,8
29,4,2904,Congressional District 4,C2,116,G5200,N,37312032695,744247785,38.2824253,-93.3189947,,22
29,7,2907,Congressional District 7,C2,116,G5200,N,16246587078,248542030,36.9910613,-93.7063517,,14
29,2,2902,Congressional District 2,C2,116,G5200,N,1206284592,37571451,38.6029696,-90.5323369,,2
29,6,2906,Congressional District 6,C2,116,G5200,N,47132969024,528128323,39.9480143,-93.2935421,,26
29,8,2908,Congressional District 8,C2,116,G5200,N,51543398547,444793592,37.1941281,-90.9345152,,38
