long,lat
-87.02711,32.41318
-87.75734,32.44977
-86.30106,32.37535
-87.61395,32.25179
-86.21514,34.26948
-85.72543,34.43359
-87.9091,30.63977
-86.96746,34.80598
-86.65576,34.71426
-86.00513,34.01391
-86.69326,34.75149
-87.08321,33.26851
-88.04303,30.6959
-85.37361,31.27931
-86.58469,34.72861
-87.50641,33.23207
-87.10493,32.31922
-86.25495,32.50421
-85.1845,32.80133
-86.83751,33.25697
-86.84269,33.43981
-86.47413,32.69091
-86.30306,32.37641
-85.76358,32.47951
-86.291,32.37771
-87.26272,31.58501
-87.02243,32.40623
-86.80949,33.51496
-86.80581,33.51634
-88.15263,30.4637
-85.86513,34.26189
-85.78071,33.82798
-85.12046,31.53708
-86.77651,33.51713
-85.43541,31.84169
-88.14745,34.44257
-85.38978,31.21374
-86.83788,33.69468
-88.10617,30.69597
-86.85111,34.18014
-86.80581,33.51634
-87.18117,34.43827
-85.47712,32.61251
-85.82986,33.65731
-85.99719,31.85412
-86.81047,33.52522
-86.57223,34.72664
-87.82637,33.68683
-86.80939,33.52206
-86.77398,33.48437
-86.31101,32.37375
-86.95051,33.40094
-85.67829,34.15357
-86.9849,33.3455
-85.59934,32.60443
-85.76825,34.47746
-87.78712,31.68673
-87.02243,32.40623
-85.85463,31.31533
-86.39394,33.68029
-86.58248,34.72973
-87.07114,31.10792
-86.10313,33.43764
-86.98777,34.59053
-87.60636,30.50572
-86.62915,34.18191
-86.43677,34.36233
-86.84821,33.5115
-87.84868,32.49096
-87.32765,31.51158
-86.70836,33.53794
-86.01258,34.01135
-88.11585,30.64483
-86.08196,33.99526
-87.37517,31.8139
-86.59573,33.35966
-87.78503,34.41417
-87.62379,34.87336
-86.39859,33.41177
-88.1561,33.25027
-86.65841,33.72529
-87.52815,34.70098
-88.14435,30.71661
-88.04614,30.68582
-86.34533,34.36512
-87.9029,30.52517
-86.74156,34.7146
-88.04303,30.6959
-86.67516,33.66709
-86.64048,34.70022
-86.20616,32.59985
-87.56242,33.2029
-86.25291,32.3314
-85.76825,34.47746
-87.24941,31.026
-87.90988,32.88911
-86.85799,34.18203
-86.97072,34.80672
-85.68729,32.42987
-86.36178,32.15148
-86.57852,33.53762
-85.87905,31.0453
-87.99838,34.16018
-88.08103,30.7655
-86.40964,33.67461
-86.81171,33.5128
-88.04401,30.69651
-86.80692,33.49047
-86.74973,34.69313
-86.31088,32.38083
-85.56155,31.46362
-87.27872,34.15651
-88.16305,32.67166
-87.01614,32.40797
-86.49575,34.316
-88.1937,32.73363
-87.2792,34.53612
-87.94651,33.31268
-86.98293,34.58039
-86.49679,33.57656
-86.2544,34.40105
-88.04303,30.6959
-85.00201,32.469
-86.30467,32.37285
-86.60455,33.69993
-85.82646,33.65842
-86.27306,32.42108
-86.747,33.50743
-87.5261,33.24112
-86.86306,34.17122
-86.76098,34.11784
-86.23727,33.81868
-86.7397,33.56265
-86.85433,33.40819
-86.78845,33.4368
-86.37909,34.36776
-87.27733,33.82961
-86.81171,33.5128
-86.54245,33.08552
-86.81185,33.51784
-86.80816,33.51539
-86.69326,34.75149
-87.56509,33.20224
-87.73882,32.21881
-86.30888,32.37047
-86.58225,34.69017
-86.91321,33.29111
-88.39683,30.82633
-86.79243,33.39181
-86.77398,33.48437
-87.34601,33.97136
-86.28466,32.35205
-87.31662,32.63066
-86.75704,33.51706
-88.14806,30.68574
-86.7954,33.46435
-86.7954,33.46435
-87.56483,33.19622
-88.06003,30.68068
-88.06003,30.68068
-87.90355,30.52659
-88.17356,30.69757
-87.02243,32.40623
-87.02827,32.41279
-86.7792,34.07372
-85.99107,33.99679
-87.07437,31.12485
-87.33343,31.47991
-86.65576,34.71426
