long,lat,,,
-87.3110768,30.49860116,,,
-87.28406865,30.46600691,,,
-87.29939553,30.43045811,,,
-87.30872183,30.41740071,,,
-87.32602224,30.42330704,,,
-87.25882366,30.45032099,,,
-87.25822673,30.50622906,,,
-87.32967804,30.46122777,,,
-87.26912658,30.52857448,,,
-87.26250939,30.51181494,,,
-122.5343513,45.41407793,,,
-81.15188473,29.52735254,,,
-81.14434763,29.43788878,,,
-81.24468356,29.47758418,,,
-81.14861411,29.42818864,,,
-84.6306816,30.58995445,,,
-84.60987718,30.58296663,,,
-81.45259234,26.76313651,,,
-82.63458832,28.45730926,,,
-82.46524373,28.54196187,,,
-82.56250797,28.55771865,,,
-82.64315512,28.43464787,,,
-82.40307002,28.53139326,,,
-82.3670807,28.5650948,,,
-82.54603408,28.60553404,,,
-82.51232474,28.43582248,,,
-82.61462225,28.48082117,,,
-81.48808294,27.47739666,,,
-81.44851795,27.46581979,,,
-81.35263932,27.30218567,,,
-81.444981,27.548268,,,
-81.32253756,27.20582263,,,
-81.42528226,27.47332397,,,
-81.43769877,27.50409909,,,
-81.33547096,27.2870106,,,
-81.50928088,27.51112947,,,
-81.49444727,27.52807604,,,
-81.42003208,27.40788429,,,
-81.51957242,27.56830739,,,
-81.48540504,27.54846552,,,
-81.50732697,27.52186457,,,
-81.50070858,27.4952453,,,
-82.3690567,27.86426216,,,
-82.38440487,27.96426003,,,
-82.47541313,28.0038564,,,
-82.47108477,28.08968434,,,
-82.26030496,27.93398319,,,
-82.08705749,27.95894559,,,
-82.29253023,28.05314995,,,
-82.58643914,28.02059323,,,
-82.39535392,27.77652321,,,
-82.45316938,28.08131601,,,
-82.29276305,28.05611537,,,
-82.27938973,28.00256143,,,
-82.45909112,27.70037076,,,
-82.18446408,27.93525958,,,
-82.58874334,28.00655742,,,
-82.12167435,28.04775141,,,
-82.31513767,27.98970373,,,
-82.29769788,28.05127245,,,
-82.34677742,28.02309408,,,
-82.0675425,28.03525065,,,
-82.30523687,27.89142525,,,
-82.58133004,28.03387369,,,
-82.31592496,27.9853781,,,
-82.34560742,27.9929073,,,
-82.37873445,27.82275139,,,
-82.31458472,28.05131237,,,
-82.24993818,27.94195074,,,
-82.16397419,27.70265894,,,
-82.45052896,28.0761655,,,
-82.58838795,28.03038861,,,
-82.40030327,27.9277647,,,
-82.12799515,28.04771207,,,
-82.44141519,28.12167834,,,
-82.32258685,27.84042474,,,
-82.30613944,28.05634448,,,
-82.40122736,27.92720115,,,
-82.45806556,28.03942302,,,
-82.31711218,27.99029604,,,
-82.32061165,27.85245513,,,
-82.45556441,28.09417451,,,
-82.35914621,28.05112639,,,
-82.4798663,27.7077769,,,
-82.36265246,27.66695746,,,
-82.43286705,28.09462345,,,
-82.37987575,27.89817633,,,
-82.58780441,28.03234594,,,
-82.45499031,27.68337619,,,
-82.36045722,28.01031936,,,
-82.46395426,27.70364538,,,
-82.47698773,28.00791014,,,
-82.24074948,27.94024386,,,
-82.16890232,28.00905891,,,
-82.18427466,27.93666027,,,
-82.34339452,27.99011589,,,
-82.06241035,28.02819749,,,
-82.28056524,28.00396564,,,
-82.32354291,27.84808914,,,
-82.48799493,28.00959346,,,
-82.31006943,28.06096398,,,
-82.54014439,28.0637776,,,
-82.37532437,27.94502859,,,
-82.31139852,27.86798473,,,
-82.35893252,27.85193433,,,
-82.57612417,28.02865357,,,
-82.46163594,28.07885962,,,
-82.32426505,28.05360006,,,
-82.64356496,28.11436669,,,
-82.30454531,28.06300918,,,
-82.1883082,28.03305164,,,
-82.22344795,27.9337141,,,
-82.46493457,28.13712187,,,
-82.32227601,27.68633528,,,
-82.16366665,27.95333601,,,
-82.58778659,28.03750032,,,
-82.29356224,28.04585129,,,
-82.46200894,28.07195642,,,
-82.46356045,27.71869974,,,
-82.44660403,28.07871786,,,
-82.33432883,28.04946473,,,
-82.25646215,28.04535685,,,
-82.09425142,28.02411885,,,
-82.50418965,27.87707602,,,
-80.45119745,27.76476905,,,
-80.48449592,27.83435527,,,
-80.45082114,27.77961218,,,
-80.51225504,27.62697423,,,
-80.51261272,27.62858643,,,
-80.50427015,27.63512123,,,
-80.47589683,27.64456128,,,
-80.37680271,27.62878764,,,
-85.02139708,30.72625648,,,
