long,lat
-73.5389,41.04985
-73.5389,41.04985
-73.56197,41.09674
-73.54979,41.04426
-80.24518,36.09576
-80.24373,36.09949
-80.26355,36.18974
-83.10936,39.95917
-83.12077,40.10899
-83.00596,39.96514
-83.00345,39.96857
-82.89613,40.05448
-84.3547,33.93467
-84.09278,34.00499
-84.38826,33.76434
-84.38652,33.76286
-84.39629,33.77128
-84.43108,33.90902
-74.027717,40.738661
-84.36142,33.94199
-84.36033,33.90543
-84.42315,33.6564
-77.67067,37.63877
-84.93784,34.47421
-93.24937,37.20792
-79.79907,36.12171
-84.22019,33.93671
-84.16473,34.01785
-84.389521,33.779256
-85.30727,35.04977
-84.50718,39.10012
-84.51422,39.10673
-84.51413,39.10325
-84.50607,39.10113
-84.51246,39.10115
-72.547416,42.151263
-72.5481,42.11747
-83.64974,41.03602
-77.40796,37.64496
-95.36438,29.7614
-95.368,29.75714
-95.36883,29.75765
-95.37054,29.75867
-95.36738,29.75788
-117.87727,33.619382
-95.37175,29.75729
-95.3684,29.75849
-95.36391,29.75579
-95.3959,29.76129
-95.54393,29.77744
-95.34107,29.9364
-95.5543,29.69082
-95.560908,29.740913
-95.46266,29.74464
-95.46125,29.73599
-95.62004,29.75826
-95.61758,29.78758
-72.73874,41.81703
-72.80698,41.69301
-72.803224,41.708447
-72.68879,41.77241
-72.69221,41.76776
-93.40318,44.89756
-93.41186,44.875
-93.46055,44.82112
-93.27008,44.97975
-93.27387,44.97559
-93.27563,44.97396
-93.26568,44.97476
-93.30542,44.86392
-93.39559,44.977
-93.45487,45.01507
-77.57726,37.66219
-77.64471,37.60589
-77.51729,37.60024
-77.51499,37.60245
-82.54968,28.03336
-74.272687,40.677334
-80.85421,35.54119
-84.40253,42.2466
-122.87228,42.32845
-86.80907,33.51806
-85.75889,38.25647
-85.75849,38.2466
-85.6949,38.19863
-94.69096,39.00816
-85.55651,42.24191
-122.332633,47.600473
-122.19701,47.6134
-122.19966,47.61655
-122.05035,47.54779
-122.1298,47.64005
-122.33591,47.61242
-122.33459,47.60578
-122.33676,47.62226
-122.33534,47.58181
-122.29366,47.42906
-73.97913,40.75559
-85.85409,41.23959
-92.97162,43.67467
-87.88061,42.1599
-87.88834,42.15495
-87.87666,42.16412
-87.87935,42.16287
-87.86746,42.1552
-87.89465,42.24325
-87.89968,42.24862
-87.91151,42.23856
-87.94421,42.22831
-81.80972,26.41844
-75.47591,40.60152
-75.59747,40.55074
-91.64372,42.03147
-118.48518,34.00131
-118.602327,34.185167
-118.44365,34.05937
-118.416831,34.058754
-118.25348,34.05154
-118.25138,34.05166
-118.39846,34.07423
-118.39185,33.9203
-118.45255,34.01978
-118.20027,33.7666
-96.797508,32.784595
-118.25654,34.15706
-118.32503,34.15687
-118.08024,34.05394
-83.69383,41.5677
-83.53444,41.64625
-88.88608,39.86725
-112.07317,33.45174
-111.97988,33.42748
-111.93085,33.65417
-111.96819,33.35718
-86.1623,39.76681
-86.15881,39.76913
-86.15487,39.75545
-88.95483,40.47689
-80.8481,35.22391
-80.83467,35.15941
-80.79705,35.17689
-80.84207,35.22704
-74.655125,40.319335
-80.36969,25.77582
-80.38533,25.86816
-80.35481,25.81058
-71.38258,42.30874
-71.4901,42.29132
-71.55768,42.36118
-71.08516,42.36644
-71.27939,42.40632
-71.25811,42.399867
-71.26202,42.35475
-84.01462,43.43742
-87.91382,43.03701
-87.90223,43.03961
-87.91331,43.01807
-87.96181,43.04561
-87.91236,43.0493
-77.45625,43.0398
-75.1359,40.17486
-75.40659,40.08857
-75.3696,40.07846
-77.1391,39.02808
-77.13895,39.031
-77.13904,39.02452
-77.02808,38.99502
-95.4541,30.16059
-74.44997,40.84933
-74.45694,40.84762
-74.44784,40.84681
-74.04493,40.787834
-74.42197,40.77162
-74.44436,40.79199
-84.96455,32.46836
-73.4179,40.76804
-75.54817,39.74627
-75.54817,39.74627
-72.83263,41.45986
-73.97416,40.7601
-74.00914,40.7032
-73.98852,40.73403
-74.00964,40.70403
-74.00935,40.70809
-73.984931,40.754677
-73.98606,40.74324
-73.97595,40.74935
-73.98239,40.7488
-74.010868,40.710025
-73.973738,40.752557
-73.97599,40.75598
-73.97252,40.75039
-73.97843,40.75168
-73.97332,40.75318
-73.97349,40.75408
-73.97819,40.76064
-73.98228,40.76769
-73.9727,40.75936
-73.97153,40.75901
-73.97471,40.75705
-73.97128,40.76131
-73.975244,40.757353
-73.97166,40.76404
-73.98649,40.75569
-73.98285,40.75482
-73.98177,40.75676
-73.98551,40.75998
-73.9824,40.75867
-73.9824,40.75867
-73.98644,40.75793
-74.00513,40.70636
-74.00797,40.70862
-73.97356,40.75875
-73.97049,40.76459
-73.98866,40.75
-73.972322,40.76391
-73.97311,40.76405
-73.97242,40.75775
-74.01444,40.71473
-74.01469,40.71392
-74.015409,40.71281
-76.43717,36.98823
-76.28802,36.84548
-83.28132,42.45125
-83.16604,42.56084
-83.28796,42.60254
-84.368186,33.847682
-83.27407,42.6942
-83.21182,42.64544
-97.51843,35.46728
-97.52924,35.53367
-90.07648,29.94917
-117.85977,33.7022
-81.42347,28.41777
-117.84007,33.6705
-92.06862,32.58997
-80.05985,26.85979
-80.12051,26.40427
-74.25564,40.98003
-89.58841,40.69173
-75.15845,39.95213
-75.15845,39.95213
-74.99049,40.11188
-82.66717,27.88649
-82.64715,27.86769
-82.70783,27.9175
-82.01313,28.0023
-93.57317,41.693711
-93.62759,41.58857
-71.47789,41.99339
-71.41286,41.82884
-71.40919,41.82491
-71.43067,41.8293
-92.28755,34.75402
-92.39809,34.78773
-73.93867,40.75084
-88.14072,43.03355
-93.09467,44.94594
-93.10161,45.01234
-93.15133,45.06354
-73.97776,40.75306
-73.9761,40.75439
-77.45263,37.534
-79.95839,37.31775
-90.42457,41.47632
-90.56653,38.661306
-90.33465,38.64954
-90.33901,38.65149
-90.33389,38.64849
-90.31114,38.71851
-90.44781,38.60453
-90.28532,38.73232
-90.39977,38.66933
-90.21103,38.6207
-111.81899,40.75842
-117.16342,32.71931
-117.19576,32.89718
-122.40257,37.78877
-122.3927,37.79059
-122.39103,37.79086
-122.39592,37.79146
-122.39486,37.79387
-122.4024,37.7934
-122.1504,37.48229
-122.21504,37.42176
-122.26245,37.53073
-122.383003,37.667391
-122.29206,37.54322
-122.28188,37.56714
-122.27658,37.5592
-121.92257,37.37627
-122.08432,37.42202
-122.05465,37.39779
-122.01133,37.41266
-122.0253,37.4179
-122.14572,37.41467
-122.14572,37.41467
-122.15025,37.39455
-122.03042,37.33177
-121.96263,37.25958
-121.92934,37.39015
-121.96588,37.37173
-121.9786,37.37749
-121.96375,37.38851
-121.92611,37.295143
-121.9537,37.40866
-97.28386,37.62239
-90.05605,35.14201
-89.85831,35.10565
-89.84948,35.10015
-77.05759,42.14462
-71.05899,42.35306
-71.07977,42.34652
-71.07208,42.35006
-82.54941,36.53579
-81.518515,41.083253
-81.47725,41.05943
-97.08751,32.90274
-97.33065,32.75605
-97.05058,32.82564
-97.64599,30.43797
-97.75277,30.27086
-95.99153,36.15043
-95.92557,36.07226
-95.99151,36.15435
-74.30522,40.69729
-74.34783,40.70987
-92.66231,33.21469
-87.546,37.98045
-118.91968,34.19201
-94.15459,36.15401
-122.82844,45.50715
-81.76289,40.85039
-83.2094,42.31475
-83.24257,42.26778
-83.05739,42.33338
-83.044951,42.330347
-83.04079,42.32942
-73.72124,41.10754
-73.71059,41.02329
-73.69335,41.03475
-86.8094,35.97105
-86.76894,36.04162
-86.813115,36.032478
-86.81122,35.95185
-97.67513,30.48641
-88.54267,43.99301
-83.64698,41.52773
-85.68454,42.82551
-88.12328,43.12196
-74.44296,40.49804
-95.96546,41.25718
-95.96229,41.25847
-87.89156,42.30212
-75.16848,39.95468
-84.50542,39.10311
-93.26949,44.97526
-92.99524,44.95067
