ALAND,AWATER,CD116FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,NUMPOINTSairports,STATEFP,amtrak,breweries,fairgrounds,farms,fortune,hospitals,military,mobilehome,museums,result,sportsvenues,starbucks,amtrak_alpha_pct,breweries_alpha_pct,fairgrounds_alpha_pct,fortune_alpha_pct,hospitals_alpha_pct,mobilehome_alpha_pct,museums_alpha_pct,sportsvenues_alpha_pct,starbucks_alpha_pct,farms_alpha_pct,military_alpha_pct
2147483647,375776742,03,116,N,0503,+36.5005037,-094.6177677,C2,G5200,Congressional District 3,12,05,0,14,0,9735,3,28,1,126,91,R,2,17,0.0,52.5,0.0,21.25,92.72727272727273,61.083650190114064,76.58415841584159,63.75,31.41304347826087,69.24476987447699,12.142857142857142
2147483647,1049845616,04,116,N,0504,+34.2241999,-093.2211129,C2,G5200,Congressional District 4,31,05,3,2,0,15199,1,33,1,286,86,R,2,3,63.75,7.5,0.0,7.083333333333333,109.28571428571428,138.65019011406844,72.37623762376238,63.75,5.543478260869565,108.11004184100418,12.142857142857142
2147483647,302544768,02,116,N,0502,+35.0995596,-092.3791565,C2,G5200,Congressional District 2,12,05,1,5,1,5715,2,31,2,245,68,R,3,29,21.25,18.75,63.75,14.166666666666666,102.66233766233766,118.77376425855513,57.227722772277225,95.625,53.586956521739125,40.65062761506276,24.285714285714285
-1298911539,625462306,01,116,N,1801,+41.4970344,-087.1798166,C2,G5200,Congressional District 1,6,18,3,12,0,1212,0,19,0,77,50,D,1,19,63.75,45.0,0.0,0.0,62.922077922077925,37.328897338403046,42.07920792079208,31.875,35.108695652173914,8.62092050209205,0.0
123456560,783650,34,116,N,0634,+34.0746549,-118.2282686,C2,G5200,Congressional District 34,0,06,1,10,0,0,2,15,0,3,52,D,2,41,21.25,37.5,0.0,14.166666666666666,49.675324675324674,1.4543726235741445,43.76237623762376,63.75,75.76086956521739,0.0,0.0
691689046,296660721,52,116,N,0652,+32.8571989,-117.1653269,C2,G5200,Congressional District 52,2,06,1,37,0,227,2,6,12,12,65,D,2,102,21.25,138.75,0.0,14.166666666666666,19.87012987012987,5.817490494296578,54.7029702970297,63.75,188.47826086956522,1.614644351464435,145.7142857142857
352104835,5012026,30,116,N,0630,+34.2018725,-118.5469560,C2,G5200,Congressional District 30,0,06,1,2,0,51,1,10,0,14,26,D,1,70,21.25,7.5,0.0,7.083333333333333,33.116883116883116,6.787072243346008,21.88118811881188,31.875,129.34782608695653,0.3627615062761506,0.0
1802693482,330001708,18,116,N,0618,+37.2022035,-122.1538063,C2,G5200,Congressional District 18,1,06,0,4,0,523,8,14,1,37,56,D,2,71,0.0,15.0,0.0,56.666666666666664,46.36363636363637,17.93726235741445,47.12871287128713,63.75,131.19565217391303,3.7200836820083683,12.142857142857142
2147483647,1572235024,20,116,N,0620,+36.3732865,-121.2752181,C2,G5200,Congressional District 20,7,06,1,10,0,2323,0,12,6,161,86,D,1,54,21.25,37.5,0.0,0.0,39.74025974025974,78.05133079847909,72.37623762376238,31.875,99.78260869565217,16.523430962343095,72.85714285714285
-1870371424,44261217,42,116,N,0642,+33.6799530,-117.2275227,C2,G5200,Congressional District 42,2,06,0,10,0,1314,0,6,1,58,21,R,0,43,0.0,37.5,0.0,0.0,19.87012987012987,28.11787072243346,17.673267326732674,0.0,79.45652173913044,9.346443514644353,12.142857142857142
